THE KEY TO MEDICINE AND A GUIDE FOR STUDENTS,مفتاح الطب ومنهاج الطلاب
"for such a course would weaken the organs, both of which are essential for existence. That is why, in order to preserve their functions, one should use a mixture of astringents and solvents in the dressings.",لأن ذلك يوهي قوى هذين العضوين المحتاج بالضرورة إليهما في بقاء الحيوة. فلذلك يجب أن يحفظ عليهما قواهما بأن يخلط في أضمدتهما وأدويتهما المقبضة مع المحللة.
"Galen related that Thessalos, head of the school of Methodists, was treating a swelling on the liver of the ruler Diogenes [Theagenes] by using unadulterated laxatives and solvents.","فإنّ جالينوس ذكر أن ثاسلس رئيس الفرقة المحتالة، كان يعالج كبد ديوجانس الملك من ورم صلب أصابه بالمرخيات والمحللات المحضة. "
"When Galen pointed out to Thessalos that he should mix the astringents with the solvents, he was chided by Thessalos who said that the treatment he was administering was used well before the hidden medicine [of the Dogmatists] was discovered.","وحين أشار جالينوس على ثاسلس بأن يخلط القوابض بتلك المحلّلات، زَبَرَهُ، وقال له: إنّ هذا العلاج كان يستعمل قبل أن استنبط الطب الخفي. "
"Galen then responded by asking, “If the sweat of this patient of ours becomes viscous and slight and he dies suddenly, would you change your opinion?” In rebuff to Galen, Thessalos turned away and left in umbrage.","فقال له جالينوس: فإنْ عرق مريضنا هذا عرَقًا لزجًا يسيرًا، ومات بغتةً؛ أفترجع عن هذا الرأي؟ فبالغ في زجر جالينوس، وانتهاره، ومضى مغضبًا. "
"But when Thessalos returned to Diogenes, he found him dead, exactly as Galen had warned but God knows best!.","ولما عاد إلى ديوجانس ألقاه ميّتًا، كما أنذر به جالينوس. والله أعلم. "
CHAPTER Seven: On the way by which the profession of medicine developed,الباب السابع: في ذكر الطرق التي بها استنبطت صناعة الطب
"When the common people see a remarkable product which is difficult to make and which needs special skill, they think that this can be achieved only by the Grace of God as does happen to some of His prophets or as a result of a revelation.","إن العوام إذا رأوا صناعة عجيبة يصعب مرامها، واستخراجًا لطيفًا يتعذّر الوصول إليه؛ اعتقدوا أنه توقيف من الله - عزّ وجلّ - لبعض أنبيائه ووحى أوحاه من عنده"
"or else they might conclude that it is a result of an instinct buried in human beings as in other animals. In former times this belief prevailed especially in India, with regard to medicine.","أو اعتقدوا أنّه إلهام انقدح في نفس بشر، كما ينقدح في نفوس الحيوانات الأخر. وقبل هذا يعتقدون لاسيّما أهل الهند في صناعة الطب"
because it was thought unlikely that something like medical knowledge could be obtained by deduction or by inference. Enough has already been said on this subject!.,"استبعادًا أن ينخرط مثلها في سلك الاستنباط، ويطاوع لطائف الاستخراج، وقد تقدّم من جدالنا في ذلك ما يكفي ويشفي. "
"Here, I should like to elaborate and say the following: Only human beings among animals are singled out with the gift of inspiration, but this gift applies only to matters where reasoning and analogy cannot be employed, such as theological matters that deal with the welfare of mankind.","ونزيد فنقول: إنّ الوحي يخصّ الناس من بين الحيوانات، إلا أنه فيما لا طريق للعقل إليه، ولا مجال للقياس فيه، كمثل الأوضاع الشرعية المتضمنة لمصالح البرية"
